Make,Car_ID,Total,Rank
Infiniti,128,128,1
Jeep,124,124,2
Audi,15,120,3
Acura,113,116,4
Honda,83,112,5
Acura,112,110,6
Honda,65,106,7
Acura,50,102,8
Honda,31,102,9
Mitsu,91,102,10
Chrystler,216,96,11
Nissan,228,92,12
Honda,175,92,13
Volkswagen,126,92,14
Honda,13,92,15
Acura,127,86,16
Honda,63,86,17
Nissan,161,84,18
Nissan,3,84,19
Volkswagen,180,82,20
Scion,57,80,21
Mercedes,25,78,22
Acura,106,78,23
Subaru,36,74,24
Honda,178,72,25
Honda,39,72,26
Acura,103,72,27
Mercedes,84,70,28
Subaru,33,68,29
Hyundai,30,66,30
Lexus,123,66,31
Acura,1051,66,32
Chevy,218,64,33
Acura,41,64,34
Nissan,158,64,35
Acura,48,62,36
Subaru,21,62,37
Subaru,23,62,38
Nissan,12,62,39
Hyundai,38,62,40
Honda,35,60,41
Subaru,53,60,42
Toyota,142,58,43
Toyota,110,58,44
Volkswagen,156,56,45
Honda,115,56,46
Toyota,43,54,47
Subaru,37,54,48
Ford,137,54,49
Volkswagen,6,54,50
Subaru,134,52,51
Acura,225,52,52
Subaru,51,50,53
Acura,5,50,54
Chevy,170,50,55
Toyota,189,50,56
Honda,88,48,57
Honda,104,48,58
Mazda,52,48,59
Acura,211,48,60
Subaru,232,46,61
Nissan,8,44,62
Mitsu,140,44,63
Nissan,Showcar,44,64
Acura,121,44,65
Honda,118,44,66
Nissan,9,44,67
Infiniti,122,44,68
Honda,85,42,69
Subaru,153,42,70
Volkswagen,56,42,71
Acura,49,42,72
Acura,45,42,73
Lexus,222,40,74
Honda,207,40,75
Mitsu,176,40,76
Honda,44,40,77
Mitsu,19,40,78
Infiniti,20,38,79
Honda,99,38,80
Volkswagen,145,38,81
Volkswagen,179,38,82
Audi,18,38,83
Subaru,200,36,84
Nissan,162,36,85
Mazda,78,36,86
Nissan,10,34,87
Mercedes,17,34,88
Nissan,4341,32,89
Volkswagen,46,32,90
Subaru,24,32,91
Nissan,7,30,92
Volkswagen,181,30,93
Ford,120,30,94
Hyundai,92,30,95
Nissan,11,30,96
Volkswagen,59,28,97
Audi,116,28,98
Volkswagen,238,28,99
Volkswagen,144,28,100
Nissan,14,26,101
Mercedes,98,26,102
Volkswagen,114,26,103
Ford,219,26,104
Mazda,141,26,105
Subaru,187,26,106
Nissan,242,26,107
Bmw,2,24,108
Honda,130,24,109
Toyota,241,24,110
Honda,22,24,111
Volkswagen,81,24,112
Mitsu,163,22,113
Acura,93,22,114
Nissan,150,22,115
Volvo,100,22,116
Bmw,172,22,117
Ford,167,20,118
Acura,230,20,119
Volkswagen,182,20,120
Scion,235,20,121
Mazda,79,18,122
Honda,226,18,123
Honda,34,18,124
Volkswagen,183,16,125
Honda,89,16,126
Volkswagen,Vip,16,127
Hyundai,159,14,128
Subaru,67,14,129
Audi,108,14,130
Audi,220,14,131
Volkswagen,186,14,132
Honda,4,14,133
Nissan,193,14,134
Volkswagen,177,12,135
Infiniti,95,12,136
Subaru,76,12,137
Nissan,68,10,138
Honda,102,10,139
Bmw,111,10,140
Toyota,243,10,141
Nissan,16,10,142
Volkswagen,96,10,143
Mazda,138,10,144
Volkswagen,94,10,145
Lexus,190,10,146
Volkswagen,237,10,147
Volkswagen,184,8,148
Dodge,42,8,149
Bmw,28,8,150
Volkswagen,185,8,151
Honda,74,8,152
Subaru,69,8,153
Volkswagen,86,8,154
Subaru,1,6,155
Subaru,75,6,156
Lexus,212,6,157
Subaru,40,6,158
Acura,71,6,159
Subaru,64,6,160
Volkswagen,66,4,161
Honda,72,4,162
Acura,174,4,163
Audi,197,2,164
Honda,101,0,166
Chevy,0,0,167
Honda,70,0,168
